Status,Seniority,Home,Marital,Records,Job,Income,Debt,Savings
bad,10,other,married,no_rec,fixed,60,0,0.642857143
good,8,owner,married,no_rec,fixed,180,0,4.846153846
good,20,owner,married,no_rec,freelance,300,9000,7.5
good,0,rent,married,no_rec,freelance,200,0,11.57142857
good,16,parents,married,no_rec,fixed,242,0,7.707692308
good,4,owner,married,no_rec,partime,155,2500,4.666666667
bad,1,rent,single,no_rec,fixed,100,0,2.869565217
good,0,owner,married,no_rec,fixed,105,0,2.454545455
good,15,owner,married,no_rec,freelance,166,0,2.904
bad,13,rent,separated,yes_rec,fixed,120,0,5.475
good,19,owner,married,no_rec,fixed,115,2000,1.26
good,15,owner,married,no_rec,freelance,350,0,1.642105263
good,40,owner,married,no_rec,freelance,214,0,5.004
good,9,rent,married,no_rec,fixed,442,1947,20.23533333
bad,12,parents,separated,yes_rec,fixed,101,0,3.046153846
bad,0,owner,married,yes_rec,fixed,122,2000,-0.127058824
good,14,owner,married,no_rec,freelance,250,0,16.28571429
good,10,parents,single,no_rec,freelance,90,0,2.2
good,2,owner,married,no_rec,fixed,160,0,4.6
good,15,owner,married,no_rec,freelance,300,0,14.4
bad,1,parents,single,no_rec,fixed,83,0,2.304
good,27,owner,married,no_rec,freelance,200,0,8.454545455
bad,0,other,married,no_rec,partime,60,0,0
bad,0,parents,single,no_rec,partime,205,0,7.285714286
good,3,owner,married,no_rec,freelance,133,900,0.784
good,8,rent,married,no_rec,fixed,179,0,4.04
good,3,owner,single,no_rec,freelance,69,0,1.36
good,5,other,single,no_rec,fixed,195,0,12.85714286
good,9,owner,married,no_rec,fixed,112,0,1.776
good,4,owner,married,no_rec,freelance,210,0,2.322580645
good,14,priv,married,no_rec,fixed,155,200,3.403636364
good,3,owner,single,yes_rec,freelance,394,0,8.616
good,22,rent,married,no_rec,fixed,149,0,16.02
good,20,rent,married,no_rec,fixed,120,0,3.78
bad,6,owner,married,yes_rec,freelance,400,0,17.5483871
good,23,owner,married,no_rec,fixed,165,0,1.6
bad,5,owner,married,no_rec,freelance,125,0,3
good,8,rent,single,no_rec,fixed,74,0,2.56
good,5,owner,married,no_rec,fixed,86,0,0.507692308
good,20,owner,married,no_rec,fixed,185,0,6.72
good,11,rent,married,no_rec,fixed,165,0,3.911111111
good,25,parents,married,no_rec,fixed,110,0,1.482352941
bad,2,rent,married,no_rec,fixed,138,0,2.742857143
good,20,owner,married,no_rec,freelance,300,0,9
good,9,owner,single,no_rec,fixed,147,0,2.1378579
bad,0,rent,separated,yes_rec,freelance,348,15500,7.9
good,18,parents,married,no_rec,fixed,112,0,5.2
good,20,owner,married,yes_rec,freelance,350,0,20.625
good,6,owner,married,no_rec,fixed,110,0,2.6
bad,0,owner,married,no_rec,partime,75,0,1.6
good,0,rent,married,no_rec,fixed,230,0,4.433684211
good,14,ignore,married,no_rec,fixed,85,0,0.428571429
good,10,owner,married,no_rec,freelance,210,120,5.352
good,19,owner,married,no_rec,fixed,125,0,2.5
good,11,owner,married,no_rec,fixed,149,0,3.171428571
good,1,owner,married,no_rec,fixed,201,96,5.456290909
bad,13,other,married,no_rec,fixed,105,0,2.25
good,4,rent,married,no_rec,fixed,183,0,2.1
bad,9,rent,single,yes_rec,fixed,113,0,2.297142857
good,1,owner,married,no_rec,fixed,126,3700,5.28
good,4,owner,married,no_rec,freelance,300,0,6.48
good,2,owner,married,no_rec,fixed,160,0,5.1
good,2,owner,married,no_rec,fixed,160,0,1.68
bad,0,other,married,yes_rec,freelance,89,0,0.99
good,21,owner,married,no_rec,freelance,95,0,2.1
good,12,owner,married,yes_rec,fixed,125,4000,0.631578947
good,9,rent,married,no_rec,fixed,120,0,1.682242991
good,2,rent,married,no_rec,fixed,359,0,9.64137931
good,24,owner,married,no_rec,fixed,80,0,1.75
good,1,parents,single,no_rec,partime,67,0,1.828571429
good,15,owner,married,no_rec,fixed,148,0,2.784
good,19,owner,married,yes_rec,fixed,298,0,8.929411765
good,10,owner,married,no_rec,fixed,318,700,8.091428571
good,19,owner,married,no_rec,fixed,185,0,6
good,10,owner,married,yes_rec,freelance,39,250,-1.128
good,4,parents,married,no_rec,fixed,194,0,5.96
bad,1,parents,single,no_rec,fixed,80,0,1.8
good,2,owner,married,yes_rec,fixed,147,900,3.78
good,5,owner,married,no_rec,freelance,156,0,1.53
good,11,owner,married,no_rec,fixed,178,0,3.708
good,23,owner,married,no_rec,fixed,130,0,3.3
bad,4,other,single,no_rec,partime,63,0,1.008
bad,5,parents,single,no_rec,fixed,88,0,2.544
good,15,parents,married,no_rec,fixed,140,0,4.75
bad,1,priv,married,no_rec,partime,115,0,5.6
good,9,owner,married,yes_rec,fixed,83,0,1.254545455
good,4,priv,married,no_rec,fixed,144,0,3.024
good,20,owner,married,no_rec,freelance,200,0,3.72
good,10,other,married,no_rec,fixed,172,0,4.472727273
good,2,priv,married,no_rec,freelance,200,500,6
good,15,owner,married,no_rec,fixed,318,0,8.147368421
good,8,owner,married,no_rec,fixed,177,4000,3.372262774
good,4,owner,married,no_rec,fixed,133,0,3.504
good,4,owner,single,no_rec,others,150,0,7.012195122
good,1,owner,single,no_rec,fixed,208,0,6.228
good,10,owner,married,no_rec,fixed,145,0,7
good,32,owner,married,no_rec,fixed,157,0,2.91
good,12,owner,married,no_rec,fixed,190,200,4.766666667
bad,0,parents,single,no_rec,partime,86,0,3.06
good,20,parents,single,no_rec,fixed,90,0,2.2
good,6,rent,married,yes_rec,partime,100,0,0
bad,4,rent,married,yes_rec,fixed,214,0,4.74
good,1,rent,single,no_rec,fixed,100,0,2.869565217
good,2,rent,married,no_rec,fixed,117,0,3.6
good,25,owner,married,no_rec,fixed,110,0,2.571428571
good,1,rent,married,no_rec,fixed,168,0,3.18
good,10,owner,married,no_rec,freelance,150,0,2.964705882
good,2,owner,married,no_rec,fixed,166,0,12.1
bad,13,rent,married,no_rec,freelance,283,0,6.617142857
bad,10,rent,married,no_rec,freelance,149,0,2.622222222
good,20,owner,married,no_rec,freelance,250,0,3.84
good,10,owner,married,yes_rec,partime,120,1500,3.6
good,1,owner,married,no_rec,freelance,236,1000,11.46
bad,1,owner,separated,yes_rec,partime,277,3500,6.952941176
bad,0,parents,single,no_rec,partime,55,0,1.263157895
good,5,parents,single,no_rec,fixed,200,0,9.9
good,3,parents,single,no_rec,fixed,235,0,14.25
bad,0,owner,married,no_rec,fixed,80,0,1.333333333
good,6,owner,married,no_rec,freelance,200,0,4.831168831
good,21,priv,married,no_rec,fixed,140,0,4.75
good,5,rent,married,no_rec,fixed,125,0,4.457142857
good,12,rent,married,no_rec,fixed,185,0,4.55
good,13,owner,married,no_rec,fixed,190,300,3.130909091
good,10,owner,married,no_rec,freelance,150,0,4.5
good,6,owner,married,no_rec,fixed,102,0,3.6
good,18,rent,married,no_rec,fixed,170,0,4.292307692
good,15,owner,married,no_rec,fixed,315,266,15.1404
bad,0,rent,married,no_rec,others,130,0,2.016
good,2,owner,married,no_rec,fixed,156,0,5.708571429
good,18,rent,married,no_rec,fixed,177,0,6.3
good,12,owner,single,yes_rec,freelance,341,0,11.24
good,25,owner,married,no_rec,freelance,240,4200,2.689156627
good,8,owner,married,no_rec,freelance,142,0,4.92
good,20,owner,married,no_rec,freelance,333,0,9.288
good,3,parents,single,no_rec,fixed,125,0,7.012987013
good,2,parents,married,no_rec,fixed,170,0,6.428571429
bad,2,owner,married,no_rec,freelance,220,500,1.68
good,15,owner,married,no_rec,fixed,230,480,8.496
good,3,owner,separated,no_rec,fixed,157,0,5.82
good,4,parents,married,no_rec,fixed,340,0,1.768421053
good,3,owner,married,no_rec,partime,120,200,3.48
good,9,rent,single,no_rec,fixed,91,0,2.82
bad,4,priv,married,no_rec,freelance,150,0,4.2
good,2,owner,single,no_rec,fixed,88,0,2.544
good,1,other,single,no_rec,partime,120,0,4.533333333
bad,2,rent,married,yes_rec,freelance,70,0,-0.3
good,2,rent,married,no_rec,fixed,106,0,4.615384615
good,2,parents,married,no_rec,fixed,162,100,11.34
good,3,parents,married,no_rec,fixed,77,0,1.92
good,8,priv,married,no_rec,fixed,128,0,3.469090909
good,10,owner,widow,no_rec,fixed,189,0,6.16
good,10,owner,married,no_rec,freelance,300,3000,3.78
good,5,owner,married,no_rec,freelance,92,1700,0.529411765
good,20,owner,married,no_rec,freelance,380,0,13.96363636
good,5,owner,married,no_rec,freelance,500,0,6.8
good,20,parents,married,no_rec,freelance,130,0,3.5
good,12,owner,married,no_rec,fixed,141,400,5.018181818
good,13,owner,married,no_rec,fixed,220,3600,6.54
good,11,owner,married,no_rec,fixed,146,1300,6.57
good,17,owner,married,no_rec,freelance,250,3700,5.914285714
good,6,owner,married,no_rec,fixed,132,0,2.16
good,22,owner,married,no_rec,freelance,150,0,0.12
good,25,rent,married,no_rec,fixed,127,0,3.145631068
bad,8,owner,married,no_rec,partime,90,500,1.5
bad,19,owner,married,yes_rec,freelance,166,1000,4.525714286
good,3,owner,married,no_rec,others,69,0,0.864
good,35,owner,married,no_rec,fixed,182,0,8.22
good,0,owner,married,no_rec,others,77,2000,0.672
bad,7,other,married,no_rec,fixed,50,0,0.315789474
good,3,owner,single,no_rec,fixed,131,0,5.485714286
good,1,parents,single,no_rec,fixed,62,0,1.851428571
bad,5,owner,married,no_rec,fixed,60,400,-0.991304348
good,2,owner,married,no_rec,fixed,86,0,-0.2
bad,13,rent,married,no_rec,fixed,143,0,2.16
bad,27,rent,married,yes_rec,fixed,120,0,1.523076923
bad,3,other,single,no_rec,fixed,283,0,7.44
good,0,owner,married,no_rec,fixed,138,0,2.005714286
good,1,priv,married,no_rec,others,90,600,-0.144
bad,1,rent,married,yes_rec,fixed,99,0,0.7
bad,10,owner,married,yes_rec,freelance,160,0,0.941538462
good,1,owner,married,no_rec,partime,330,3500,10.84615385
good,6,owner,married,no_rec,freelance,100,0,1.44
bad,3,rent,married,no_rec,fixed,210,0,3.908571429
good,10,rent,separated,no_rec,fixed,100,0,2.357142857
good,0,owner,single,no_rec,partime,97,0,3.12
bad,1,rent,married,no_rec,freelance,65,0,0.8
good,6,owner,married,no_rec,fixed,227,0,14.56
good,5,owner,married,yes_rec,fixed,140,2500,2.45
bad,1,rent,married,no_rec,fixed,115,0,1.221818182
good,37,owner,married,no_rec,fixed,150,0,6.171428571
bad,1,parents,single,no_rec,fixed,90,0,3
good,40,owner,married,no_rec,fixed,275,0,7.77
good,5,parents,single,no_rec,fixed,176,0,7.109243697
good,11,rent,married,no_rec,fixed,110,0,2.034782609
good,23,owner,married,no_rec,fixed,140,0,2.689655172
good,23,owner,married,no_rec,fixed,500,0,14.36842105
bad,5,owner,married,no_rec,fixed,66,0,-0.9
good,10,owner,married,no_rec,freelance,273,0,12.78
good,5,owner,married,no_rec,freelance,145,0,4.072727273
good,31,owner,married,no_rec,fixed,67,0,0.388888889
bad,4,owner,married,no_rec,freelance,232,0,4.957894737
bad,10,owner,married,yes_rec,fixed,80,1749,-1.601359223
good,0,parents,single,no_rec,freelance,130,0,7.125
good,8,other,married,no_rec,fixed,200,0,13.28571429
good,2,owner,married,yes_rec,freelance,154,0,3.345882353
good,3,priv,married,no_rec,freelance,187,750,2.771612903
bad,35,owner,married,no_rec,fixed,135,0,3
good,3,owner,widow,no_rec,fixed,160,3000,4.08
good,25,owner,married,no_rec,fixed,133,0,2.92
good,8,rent,married,no_rec,freelance,230,0,3.109090909
good,2,owner,married,no_rec,fixed,154,0,5.64
good,2,owner,married,no_rec,fixed,50,250,-0.625
good,17,owner,married,no_rec,freelance,189,0,5.629090909
good,3,owner,married,no_rec,fixed,202,1260,5.545714286
bad,4,parents,married,no_rec,freelance,20,0,-1.816216216
bad,0,owner,married,no_rec,others,40,0,-1.411764706
bad,2,rent,married,no_rec,fixed,50,0,-7.2
good,2,owner,married,no_rec,fixed,125,0,7.68
good,30,rent,married,no_rec,freelance,100,0,1.44
good,11,owner,married,no_rec,fixed,115,75,2.604
bad,5,ignore,married,no_rec,fixed,160,0,5.730337079
good,14,owner,married,no_rec,fixed,70,2800,-1.8
good,8,owner,married,no_rec,fixed,220,0,8.88
bad,1,other,married,yes_rec,freelance,99,0,2.025
good,1,owner,single,no_rec,freelance,107,0,1.44
bad,6,owner,married,no_rec,fixed,160,600,3.058064516
good,9,owner,married,no_rec,fixed,150,0,4.090909091
good,0,owner,married,no_rec,partime,232,0,14.96
bad,3,owner,married,no_rec,partime,120,1500,3.6
good,3,owner,married,yes_rec,freelance,225,0,6.428571429
good,1,parents,single,no_rec,freelance,100,0,4.333333333
bad,0,owner,married,no_rec,partime,80,300,0.12
good,6,owner,single,no_rec,fixed,208,3300,5.6
bad,21,owner,married,no_rec,fixed,105,720,2.34
good,17,owner,married,no_rec,fixed,98,0,2.651162791
good,7,rent,married,no_rec,fixed,532,0,7.542
good,10,owner,married,no_rec,fixed,140,0,4.8
good,2,owner,married,no_rec,fixed,90,2000,-0.48
good,0,rent,married,no_rec,fixed,155,0,5.925
good,2,owner,married,no_rec,fixed,120,0,15
good,10,owner,married,no_rec,fixed,159,250,7.98
good,6,owner,married,no_rec,fixed,122,1000,3.092307692
bad,7,owner,married,no_rec,partime,156,0,3.738461538
good,18,owner,single,no_rec,fixed,90,0,2.64
good,3,owner,single,no_rec,partime,130,0,1.554545455
good,6,owner,married,no_rec,freelance,45,34,-4.0806
good,0,rent,married,no_rec,partime,118,0,2.76
bad,0,owner,single,no_rec,others,152,0,5.52
good,8,rent,single,no_rec,fixed,135,0,4.128
good,4,rent,married,no_rec,fixed,125,0,2.68
good,1,rent,married,no_rec,freelance,208,0,5.112
bad,1,parents,single,no_rec,partime,81,0,1.92
good,3,owner,married,no_rec,fixed,160,0,10.2
good,10,rent,married,no_rec,freelance,300,0,13.5
good,8,priv,married,no_rec,fixed,135,1500,1.661538462
good,20,parents,married,no_rec,fixed,121,0,4.305882353
good,3,parents,single,no_rec,fixed,145,0,5.28
bad,1,parents,single,no_rec,fixed,165,0,4.8
good,19,owner,married,no_rec,freelance,428,0,8.472
good,2,rent,married,no_rec,others,233,0,6.6
bad,11,owner,married,yes_rec,fixed,245,0,5.470588235
bad,1,owner,married,yes_rec,freelance,232,20000,-0.672
bad,1,owner,married,yes_rec,freelance,200,4500,2.742857143
good,15,owner,married,no_rec,freelance,42,0,-1.186813187
good,10,owner,divorced,no_rec,fixed,87,450,4.56
bad,1,priv,married,yes_rec,freelance,200,1500,6.72
good,25,owner,married,no_rec,freelance,250,0,3.5
bad,4,rent,divorced,yes_rec,fixed,350,0,7.636363636
bad,0,other,married,no_rec,fixed,105,0,1.8
good,1,owner,single,no_rec,freelance,100,1500,3.75
bad,2,parents,married,yes_rec,freelance,160,0,3.777777778
good,16,parents,single,no_rec,freelance,132,0,4.85
bad,0,rent,separated,no_rec,fixed,140,0,2.848695652
good,16,parents,married,no_rec,fixed,160,0,4.928571429
good,8,owner,married,no_rec,freelance,148,0,3.128571429
good,20,parents,married,no_rec,freelance,113,0,3.497142857
good,5,parents,married,no_rec,fixed,97,0,2.08
good,20,owner,married,no_rec,fixed,107,0,2.256
bad,5,rent,married,yes_rec,fixed,206,0,4.421052632
good,1,owner,married,no_rec,fixed,275,1810,7.94625
good,3,owner,married,no_rec,fixed,176,2500,4.542857143
good,2,rent,married,no_rec,fixed,175,0,4.032
good,3,owner,married,no_rec,fixed,223,0,3.051428571
good,7,rent,married,no_rec,fixed,70,0,0.227848101
bad,9,rent,married,no_rec,fixed,87,0,0.09
bad,1,owner,married,no_rec,freelance,42,100,-5.88
good,14,parents,single,no_rec,fixed,60,0,1.304347826
good,6,other,single,no_rec,fixed,300,0,5.3
good,0,other,married,no_rec,fixed,144,0,5.52
bad,15,rent,married,no_rec,freelance,217,2000,3.992727273
good,2,parents,married,no_rec,fixed,180,0,4.266666667
bad,1,rent,married,no_rec,others,69,0,-0.567272727
good,12,rent,married,yes_rec,fixed,110,0,2.057142857
bad,1,parents,single,yes_rec,partime,50,0,1.270588235
bad,0,parents,single,yes_rec,partime,86,0,2.185714286
good,11,owner,married,no_rec,fixed,172,0,4.48
bad,9,rent,married,yes_rec,freelance,109,0,2.008810573
good,13,owner,married,no_rec,fixed,95,0,2.359550562
good,29,rent,married,no_rec,fixed,203,0,6.709090909
bad,33,owner,married,yes_rec,fixed,114,0,2.76
good,3,rent,widow,no_rec,freelance,186,0,7.454117647
good,0,rent,single,no_rec,fixed,155,0,7.8
good,5,parents,married,no_rec,fixed,195,0,8.1
bad,3,owner,married,no_rec,freelance,246,0,7.892307692
good,21,rent,married,no_rec,fixed,113,0,1.364210526
good,6,owner,married,no_rec,freelance,290,900,7.072
bad,1,other,married,yes_rec,freelance,103,0,1.344
good,25,owner,married,no_rec,fixed,125,0,4
good,5,rent,married,no_rec,freelance,199,0,9.984
good,1,owner,married,no_rec,fixed,133,9000,-0.171428571
good,1,owner,married,no_rec,fixed,210,0,12.85714286
bad,2,other,single,yes_rec,freelance,124,0,1.986976744
good,11,owner,married,no_rec,fixed,78,0,2.329411765
good,1,rent,divorced,no_rec,partime,200,0,4.745454545
good,0,parents,married,no_rec,freelance,100,0,1.783783784
bad,2,rent,married,no_rec,fixed,95,0,0.358208955
good,5,rent,married,no_rec,fixed,183,0,5.236363636
good,2,parents,single,no_rec,fixed,43,0,0.426666667
good,7,priv,married,no_rec,fixed,120,3000,1.034482759
bad,3,parents,single,no_rec,freelance,198,0,8.345454545
bad,2,rent,single,no_rec,fixed,100,0,2.828571429
good,3,rent,single,no_rec,fixed,150,0,3.6
good,10,owner,married,no_rec,fixed,133,0,7.3
good,10,owner,widow,no_rec,others,110,0,6.24
good,10,owner,married,no_rec,fixed,202,0,6.085714286
good,1,priv,married,no_rec,fixed,140,500,1.636363636
good,4,owner,married,no_rec,fixed,123,0,3.227586207
good,2,owner,married,no_rec,fixed,275,4500,7.4
bad,3,priv,married,yes_rec,fixed,200,0,5.555555556
good,6,owner,single,no_rec,freelance,180,800,5.48
bad,0,owner,separated,no_rec,fixed,55,0,1.268163804
good,1,owner,married,no_rec,others,105,0,3
good,15,owner,married,no_rec,fixed,146,0,3.042857143
good,10,owner,married,yes_rec,fixed,100,1500,0.444444444
bad,2,rent,separated,no_rec,fixed,136,0,3.48
good,8,owner,married,no_rec,fixed,90,0,1.636363636
good,4,owner,married,no_rec,freelance,144,0,4.581818182
good,7,owner,married,no_rec,fixed,116,0,2.4
good,17,owner,married,no_rec,fixed,128,4800,0.257142857
good,10,owner,married,no_rec,fixed,105,0,2.858823529
good,6,owner,married,no_rec,fixed,125,0,1
good,0,other,married,no_rec,partime,68,0,1.15
good,1,owner,married,no_rec,fixed,400,0,6.5
good,6,owner,married,no_rec,fixed,251,400,8.976
good,2,rent,single,no_rec,fixed,225,0,12.525
good,2,parents,single,no_rec,fixed,140,0,5.25
good,15,owner,separated,no_rec,freelance,34,0,-0.586666667
good,7,rent,married,no_rec,freelance,320,0,12.17142857
good,0,owner,married,yes_rec,freelance,124,0,3.16
good,1,rent,married,no_rec,others,87,0,1.98
bad,2,parents,single,yes_rec,freelance,161,0,3.78
bad,15,owner,married,no_rec,others,90,1800,-0.72
bad,0,rent,married,no_rec,freelance,92,0,0.728571429
good,2,parents,married,no_rec,fixed,110,0,1.846153846
good,20,owner,married,no_rec,freelance,87,0,2.916
good,30,rent,married,no_rec,fixed,93,0,2.34
good,12,owner,married,yes_rec,fixed,110,1300,5.546666667
good,2,rent,single,no_rec,fixed,81,0,2.28
bad,3,owner,married,no_rec,fixed,98,0,2.355555556
good,7,owner,married,no_rec,freelance,155,0,4.071428571
good,4,owner,married,no_rec,fixed,167,1000,5.82
good,14,priv,married,no_rec,fixed,190,0,4.216216216
good,10,owner,married,no_rec,fixed,110,300,1.669565217
bad,3,owner,separated,no_rec,freelance,76,0,2.589473684
bad,12,rent,married,yes_rec,fixed,170,0,3.6
bad,20,owner,single,yes_rec,freelance,214,400,8.4
good,5,parents,single,no_rec,fixed,70,0,2.333333333
bad,2,owner,single,no_rec,fixed,55,0,1.5
bad,30,parents,married,no_rec,fixed,80,0,1.4
good,3,owner,married,yes_rec,partime,81,0,0.36
bad,0,other,single,no_rec,fixed,139,0,4.16
good,0,rent,married,no_rec,fixed,206,0,4.48
bad,5,other,separated,no_rec,freelance,74,0,1.872
good,3,parents,single,no_rec,fixed,120,0,4.08
good,30,other,married,no_rec,freelance,300,0,5.929411765
good,13,priv,married,no_rec,fixed,224,0,5.5875
good,0,rent,married,no_rec,fixed,80,0,0.72
bad,3,owner,married,no_rec,partime,166,0,5.7
good,0,owner,married,no_rec,partime,110,0,1.636363636
bad,7,parents,married,yes_rec,fixed,161,0,5.740206186
good,4,owner,married,no_rec,fixed,80,0,1.909090909
good,10,owner,married,no_rec,fixed,150,0,3.6
