Status,Seniority,Home,Time,Marital,Records,Job,Expenses,Income,Debt,Amount,Price,Savings
good,9,owner,60,married,no_rec,fixed,45,170,0,850,1205,8.823529412
good,22,rent,60,married,no_rec,fixed,93,176,0,2000,2200,2.49
good,18,parents,36,married,no_rec,freelance,60,238,0,900,2214,7.12
good,1,priv,60,married,no_rec,fixed,60,115,800,1000,1137,2.82
good,14,owner,48,married,no_rec,fixed,45,200,0,600,1025,12.4
good,8,owner,36,married,yes_rec,freelance,75,411,4000,800,1593,13.32
good,5,owner,24,married,no_rec,fixed,75,93,0,700,1735,0.617142857
good,19,rent,60,married,no_rec,fixed,86,108,0,1000,1132,1.32
good,14,owner,12,married,no_rec,freelance,90,500,0,500,1338,9.84
good,0,other,36,married,yes_rec,others,45,45,0,900,1100,0
good,9,rent,36,married,no_rec,fixed,70,250,0,1750,2276,3.702857143
good,29,owner,48,married,no_rec,fixed,45,100,0,900,1360,2.933333333
good,10,owner,36,married,no_rec,fixed,60,70,0,1000,1436,0.36
good,10,parents,36,married,no_rec,fixed,60,150,0,550,612,5.890909091
bad,1,owner,36,married,no_rec,fixed,60,70,0,850,1100,0.423529412
good,11,owner,60,divorced,yes_rec,fixed,35,263,0,1000,1300,13.68
good,10,owner,60,married,no_rec,freelance,75,200,0,1000,2089,7.5
good,5,owner,24,single,no_rec,fixed,35,78,3000,500,2262,0.624
good,10,rent,60,single,no_rec,fixed,47,120,0,600,1054,7.3
good,27,owner,60,married,no_rec,fixed,60,125,0,1426,1426,2.734922861
bad,0,rent,60,single,no_rec,partime,40,50,0,1040,1048,0.576923077
bad,25,rent,60,married,no_rec,fixed,60,146,0,1000,1292,5.16
good,3,parents,60,single,no_rec,fixed,35,70,0,950,1177,2.210526316
bad,9,parents,60,single,yes_rec,fixed,35,105,0,1490,1490,2.818791946
good,4,rent,36,married,no_rec,freelance,101,413,0,750,850,14.976
good,6,rent,36,married,no_rec,freelance,95,500,21400,800,1011,8.595
good,9,rent,48,married,no_rec,freelance,140,350,0,1400,1571,7.2
good,3,owner,36,married,no_rec,freelance,75,200,0,1000,1000,4.5
bad,22,other,36,married,no_rec,fixed,45,138,0,250,270,13.392
good,3,owner,60,widow,no_rec,others,35,80,0,950,1382,2.842105263
good,30,owner,36,married,no_rec,freelance,120,208,0,1500,1713,2.112
good,8,rent,60,married,no_rec,fixed,89,137,0,800,1086,3.6
good,38,owner,48,married,no_rec,freelance,45,58,0,1500,3262,0.416
good,2,rent,60,married,no_rec,fixed,73,130,0,1100,1610,3.109090909
good,4,owner,60,married,no_rec,fixed,75,123,1000,600,1030,3.8
bad,0,rent,36,married,no_rec,partime,78,180,0,650,650,5.649230769
bad,2,other,48,single,no_rec,fixed,35,140,0,1950,2175,2.584615385
good,8,owner,24,married,no_rec,fixed,75,315,0,400,1780,14.4
bad,1,rent,36,married,no_rec,partime,76,164,0,900,950,3.52
bad,6,parents,60,married,no_rec,freelance,90,325,0,1200,1211,11.75
good,5,owner,60,married,no_rec,fixed,45,135,1400,1600,1650,2.85
bad,13,parents,36,single,no_rec,fixed,35,109,0,350,350,7.611428571
good,11,rent,60,married,no_rec,fixed,79,185,0,950,1117,6.694736842
good,10,owner,24,married,no_rec,fixed,45,217,3000,1500,2468,2.272
bad,20,owner,60,married,no_rec,freelance,90,300,2500,1340,1740,8.28358209
bad,0,owner,36,single,no_rec,freelance,35,77,0,1000,1210,1.512
good,13,owner,48,married,no_rec,fixed,60,253,0,670,963,13.82686567
bad,2,owner,36,married,no_rec,fixed,75,101,400,1200,1646,0.66
bad,3,owner,36,married,yes_rec,freelance,35,200,0,800,800,7.425
good,12,owner,36,married,no_rec,fixed,75,124,0,460,470,3.834782609
good,20,owner,24,married,no_rec,fixed,45,143,0,950,1370,2.475789474
good,3,priv,48,separated,no_rec,freelance,35,250,1500,700,839,13.71428571
good,27,owner,60,married,no_rec,fixed,75,135,1000,600,1346,5
good,4,rent,60,married,no_rec,fixed,57,115,0,900,1350,3.866666667
bad,1,owner,60,married,no_rec,partime,75,160,3000,1800,2100,1.833333333
good,18,rent,60,married,no_rec,fixed,66,214,0,1300,1307,6.830769231
good,12,rent,60,married,no_rec,fixed,114,390,0,1100,1126,15.05454545
good,12,owner,48,separated,no_rec,freelance,45,500,0,2380,4786,9.176470588
bad,0,parents,60,single,no_rec,partime,35,95,0,1400,1478,2.571428571
good,12,owner,60,married,no_rec,fixed,75,200,0,1550,1568,4.838709677
good,0,parents,24,single,no_rec,partime,35,85,0,650,1056,1.846153846
good,10,other,18,married,no_rec,fixed,90,214,0,1000,1608,2.232
good,2,owner,60,married,no_rec,fixed,75,140,0,950,1179,4.105263158
bad,10,other,60,married,no_rec,fixed,45,60,0,1400,1524,0.642857143
good,8,owner,60,married,no_rec,fixed,75,180,0,1300,1730,4.846153846
good,20,owner,30,married,no_rec,freelance,60,300,9000,600,823,7.5
good,0,rent,60,married,no_rec,freelance,65,200,0,700,800,11.57142857
good,16,parents,60,married,no_rec,fixed,75,242,0,1300,1482,7.707692308
good,4,owner,60,married,no_rec,partime,60,155,2500,900,1110,4.666666667
bad,1,rent,60,single,no_rec,fixed,45,100,0,1150,1555,2.869565217
good,0,owner,60,married,no_rec,fixed,60,105,0,1100,1170,2.454545455
good,15,owner,12,married,no_rec,freelance,45,166,0,500,886,2.904
bad,13,rent,60,separated,yes_rec,fixed,47,120,0,800,1395,5.475
good,19,owner,36,married,no_rec,fixed,60,115,2000,1000,2084,1.26
good,15,owner,24,married,no_rec,freelance,90,350,0,3800,8800,1.642105263
good,40,owner,36,married,no_rec,freelance,75,214,0,1000,1160,5.004
good,9,rent,60,married,no_rec,fixed,119,442,1947,900,1211,20.23533333
bad,12,parents,60,separated,yes_rec,fixed,35,101,0,1300,1300,3.046153846
bad,0,owner,36,married,yes_rec,fixed,105,122,2000,850,850,-0.127058824
good,14,owner,60,married,no_rec,freelance,60,250,0,700,1204,16.28571429
good,10,parents,24,single,no_rec,freelance,35,90,0,600,1528,2.2
good,2,owner,48,married,no_rec,fixed,45,160,0,1200,1298,4.6
good,15,owner,18,married,no_rec,freelance,60,300,0,300,600,14.4
bad,1,parents,48,single,no_rec,fixed,35,83,0,1000,1320,2.304
good,27,owner,60,married,no_rec,freelance,45,200,0,1100,1300,8.454545455
bad,0,other,60,married,no_rec,partime,60,60,0,1300,1380,0
bad,0,parents,60,single,no_rec,partime,35,205,0,1400,1426,7.285714286
good,3,owner,24,married,no_rec,freelance,75,133,900,1500,5200,0.784
good,8,rent,36,married,no_rec,fixed,78,179,0,900,1503,4.04
good,3,owner,48,single,no_rec,freelance,35,69,0,1200,1449,1.36
good,5,other,60,single,no_rec,fixed,45,195,0,700,1422,12.85714286
good,9,owner,24,married,no_rec,fixed,75,112,0,500,1430,1.776
good,4,owner,30,married,no_rec,freelance,90,210,0,1550,1578,2.322580645
good,14,priv,48,married,no_rec,fixed,75,155,200,1100,1250,3.403636364
good,3,owner,36,single,yes_rec,freelance,35,394,0,1500,2260,8.616
good,22,rent,36,married,no_rec,fixed,60,149,0,200,280,16.02
good,20,rent,48,married,no_rec,fixed,57,120,0,800,1298,3.78
bad,6,owner,48,married,yes_rec,freelance,60,400,0,930,945,17.5483871
good,23,owner,12,married,no_rec,fixed,45,165,0,900,1694,1.6
bad,5,owner,36,married,no_rec,freelance,75,125,0,600,700,3
good,8,rent,48,single,no_rec,fixed,42,74,0,600,1290,2.56
good,5,owner,60,married,no_rec,fixed,75,86,0,1300,1581,0.507692308
good,20,owner,48,married,no_rec,fixed,45,185,0,1000,1383,6.72
good,11,rent,60,married,no_rec,fixed,77,165,0,1350,1637,3.911111111
good,25,parents,54,married,no_rec,fixed,75,110,0,1275,1275,1.482352941
bad,2,rent,60,married,no_rec,fixed,74,138,0,1400,1400,2.742857143
good,20,owner,24,married,no_rec,freelance,75,300,0,600,832,9
good,9,owner,36,single,no_rec,fixed,35,147,0,1886,2886,2.1378579
bad,0,rent,60,separated,yes_rec,freelance,35,348,15500,1200,1257,7.9
good,18,parents,60,married,no_rec,fixed,60,112,0,600,1346,5.2
good,20,owner,60,married,yes_rec,freelance,75,350,0,800,1138,20.625
good,6,owner,12,married,no_rec,fixed,45,110,0,300,1801,2.6
bad,0,owner,48,married,no_rec,partime,45,75,0,900,1200,1.6
good,0,rent,36,married,no_rec,fixed,113,230,0,950,950,4.433684211
good,14,ignore,60,married,no_rec,fixed,75,85,0,1400,1589,0.428571429
good,10,owner,48,married,no_rec,freelance,75,210,120,1200,1617,5.352
good,19,owner,60,married,no_rec,fixed,75,125,0,1200,1200,2.5
good,11,owner,60,married,no_rec,fixed,75,149,0,1400,2194,3.171428571
good,1,owner,48,married,no_rec,fixed,75,201,96,1100,1642,5.456290909
bad,13,other,60,married,no_rec,fixed,60,105,0,1200,1423,2.25
good,4,rent,12,married,no_rec,fixed,78,183,0,600,1600,2.1
bad,9,rent,24,single,yes_rec,fixed,46,113,0,700,700,2.297142857
good,1,owner,24,married,no_rec,fixed,45,126,3700,200,300,5.28
good,4,owner,36,married,no_rec,freelance,120,300,0,1000,1165,6.48
good,2,owner,60,married,no_rec,fixed,75,160,0,1000,1365,5.1
good,2,owner,12,married,no_rec,fixed,90,160,0,500,1706,1.68
bad,0,other,36,married,yes_rec,freelance,45,89,0,1600,2053,0.99
good,21,owner,60,married,no_rec,freelance,60,95,0,1000,1700,2.1
good,12,owner,60,married,yes_rec,fixed,75,125,4000,950,1462,0.631578947
good,9,rent,60,married,no_rec,fixed,87,120,0,1177,1300,1.682242991
good,2,rent,36,married,no_rec,fixed,126,359,0,870,1122,9.64137931
good,24,owner,60,married,no_rec,fixed,45,80,0,1200,1257,1.75
good,1,parents,60,single,no_rec,partime,35,67,0,1050,1387,1.828571429
good,15,owner,48,married,no_rec,fixed,90,148,0,1000,1266,2.784
good,19,owner,60,married,yes_rec,fixed,45,298,0,1700,2195,8.929411765
good,10,owner,24,married,no_rec,fixed,75,318,700,700,2004,8.091428571
good,19,owner,60,married,no_rec,fixed,75,185,0,1100,1203,6
good,10,owner,36,married,yes_rec,freelance,60,39,250,750,1138,-1.128
good,4,parents,48,married,no_rec,fixed,45,194,0,1200,1374,5.96
bad,1,parents,60,single,no_rec,fixed,35,80,0,1500,1514,1.8
good,2,owner,24,married,yes_rec,fixed,75,147,900,400,750,3.78
good,5,owner,24,married,no_rec,freelance,105,156,0,800,1894,1.53
good,11,owner,36,married,no_rec,fixed,75,178,0,1000,1048,3.708
good,23,owner,24,married,no_rec,fixed,75,130,0,400,1369,3.3
bad,4,other,36,single,no_rec,partime,35,63,0,1000,1035,1.008
bad,5,parents,36,single,no_rec,fixed,35,88,0,750,1218,2.544
good,15,parents,60,married,no_rec,fixed,45,140,0,1200,1637,4.75
bad,1,priv,60,married,no_rec,partime,45,115,0,750,953,5.6
good,9,owner,60,married,yes_rec,fixed,60,83,0,1100,1212,1.254545455
good,4,priv,36,married,no_rec,fixed,60,144,0,1000,1218,3.024
good,20,owner,24,married,no_rec,freelance,45,200,0,1000,1419,3.72
good,10,other,60,married,no_rec,fixed,90,172,0,1100,1100,4.472727273
good,2,priv,60,married,no_rec,freelance,105,200,500,900,987,6
good,15,owner,60,married,no_rec,fixed,60,318,0,1900,2400,8.147368421
good,8,owner,60,married,no_rec,fixed,60,177,4000,1370,1375,3.372262774
good,4,owner,48,married,no_rec,fixed,60,133,0,1000,1595,3.504
good,4,owner,60,single,no_rec,others,35,150,0,984,1054,7.012195122
good,1,owner,36,single,no_rec,fixed,35,208,0,1000,1651,6.228
good,10,owner,30,married,no_rec,fixed,75,145,0,300,1542,7
good,32,owner,60,married,no_rec,fixed,60,157,0,2000,2014,2.91
good,12,owner,60,married,no_rec,fixed,45,190,200,1800,2624,4.766666667
bad,0,parents,60,single,no_rec,partime,35,86,0,1000,1135,3.06
good,20,parents,24,single,no_rec,fixed,35,90,0,600,1105,2.2
good,6,rent,60,married,yes_rec,partime,100,100,0,1500,1500,0
bad,4,rent,24,married,yes_rec,fixed,56,214,0,800,1200,4.74
good,1,rent,60,single,no_rec,fixed,45,100,0,1150,1555,2.869565217
good,2,rent,48,married,no_rec,fixed,57,117,0,800,2251,3.6
good,25,owner,18,married,no_rec,fixed,45,110,0,455,1542,2.571428571
good,1,rent,36,married,no_rec,fixed,62,168,0,1200,2186,3.18
good,10,owner,48,married,no_rec,freelance,45,150,0,1700,1700,2.964705882
good,2,owner,60,married,no_rec,fixed,45,166,0,600,1180,12.1
bad,13,rent,24,married,no_rec,freelance,90,283,0,700,800,6.617142857
bad,10,rent,60,married,no_rec,freelance,90,149,0,1350,1668,2.622222222
good,20,owner,36,married,no_rec,freelance,90,250,0,1500,1750,3.84
good,10,owner,48,married,yes_rec,partime,60,120,1500,600,875,3.6
good,1,owner,60,married,no_rec,freelance,35,236,1000,1000,1514,11.46
bad,1,owner,60,separated,yes_rec,partime,45,277,3500,1700,1950,6.952941176
bad,0,parents,60,single,no_rec,partime,35,55,0,950,1462,1.263157895
good,5,parents,36,single,no_rec,fixed,35,200,0,600,1098,9.9
good,3,parents,60,single,no_rec,fixed,45,235,0,800,840,14.25
bad,0,owner,48,married,no_rec,fixed,45,80,0,1260,1634,1.333333333
good,6,owner,48,married,no_rec,freelance,45,200,0,1540,1603,4.831168831
good,21,priv,60,married,no_rec,fixed,45,140,0,1200,1200,4.75
good,5,rent,60,married,no_rec,fixed,73,125,0,700,1360,4.457142857
good,12,rent,60,married,no_rec,fixed,94,185,0,1200,1236,4.55
good,13,owner,42,married,no_rec,fixed,105,190,300,1100,1395,3.130909091
good,10,owner,60,married,no_rec,freelance,60,150,0,1200,1390,4.5
good,6,owner,60,married,no_rec,fixed,60,102,0,700,1355,3.6
good,18,rent,60,married,no_rec,fixed,77,170,0,1300,1604,4.292307692
good,15,owner,60,married,no_rec,fixed,60,315,266,1000,1241,15.1404
bad,0,rent,12,married,no_rec,others,88,130,0,250,375,2.016
good,2,owner,36,married,no_rec,fixed,45,156,0,700,1045,5.708571429
good,18,rent,60,married,no_rec,fixed,93,177,0,800,1781,6.3
good,12,owner,36,single,yes_rec,freelance,60,341,0,900,900,11.24
good,25,owner,48,married,no_rec,freelance,105,240,4200,1660,1698,2.689156627
good,8,owner,12,married,no_rec,freelance,60,142,0,200,1048,4.92
good,20,owner,36,married,no_rec,freelance,75,333,0,1000,2200,9.288
good,3,parents,60,single,no_rec,fixed,35,125,0,770,1119,7.012987013
good,2,parents,36,married,no_rec,fixed,45,170,0,700,1090,6.428571429
bad,2,owner,36,married,no_rec,freelance,75,220,500,3000,4100,1.68
good,15,owner,36,married,no_rec,fixed,60,230,480,700,1400,8.496
good,3,owner,60,separated,no_rec,fixed,60,157,0,1000,2010,5.82
good,4,parents,12,married,no_rec,fixed,60,340,0,1900,2014,1.768421053
good,3,owner,60,married,no_rec,partime,60,120,200,1000,1342,3.48
good,9,rent,60,single,no_rec,fixed,44,91,0,1000,1132,2.82
bad,4,priv,42,married,no_rec,freelance,60,150,0,900,1048,4.2
good,2,owner,36,single,no_rec,fixed,35,88,0,750,1218,2.544
good,1,other,48,single,no_rec,partime,35,120,0,900,1114,4.533333333
bad,2,rent,60,married,yes_rec,freelance,75,70,0,1000,1206,-0.3
good,2,rent,60,married,no_rec,fixed,56,106,0,650,2132,4.615384615
good,2,parents,36,married,no_rec,fixed,35,162,100,400,570,11.34
good,3,parents,60,married,no_rec,fixed,45,77,0,1000,1094,1.92
good,8,priv,36,married,no_rec,fixed,75,128,0,550,550,3.469090909
good,10,owner,48,widow,no_rec,fixed,35,189,0,1200,1255,6.16
good,10,owner,36,married,no_rec,freelance,60,300,3000,2000,4138,3.78
good,5,owner,60,married,no_rec,freelance,60,92,1700,1700,1714,0.529411765
good,20,owner,48,married,no_rec,freelance,60,380,0,1100,1150,13.96363636
good,5,owner,24,married,no_rec,freelance,75,500,0,1500,2673,6.8
good,20,parents,60,married,no_rec,freelance,60,130,0,1200,1630,3.5
good,12,owner,60,married,no_rec,fixed,45,141,400,1100,1544,5.018181818
good,13,owner,60,married,no_rec,fixed,75,220,3600,1000,1195,6.54
good,11,owner,36,married,no_rec,fixed,60,146,1300,400,1206,6.57
good,17,owner,60,married,no_rec,freelance,75,250,3700,1400,2050,5.914285714
good,6,owner,36,married,no_rec,fixed,60,132,0,1200,1513,2.16
good,22,owner,6,married,no_rec,freelance,90,150,0,3000,3300,0.12
good,25,rent,60,married,no_rec,fixed,73,127,0,1030,1250,3.145631068
bad,8,owner,60,married,no_rec,partime,60,90,500,1000,1339,1.5
bad,19,owner,60,married,yes_rec,freelance,90,166,1000,875,875,4.525714286
good,3,owner,18,married,no_rec,others,45,69,0,500,1101,0.864
good,35,owner,60,married,no_rec,fixed,45,182,0,1000,1568,8.22
good,0,owner,42,married,no_rec,others,45,77,2000,750,1194,0.672
bad,7,other,60,married,no_rec,fixed,45,50,0,950,1378,0.315789474
good,3,owner,60,single,no_rec,fixed,35,131,0,1050,1139,5.485714286
good,1,parents,24,single,no_rec,fixed,35,62,0,350,350,1.851428571
bad,5,owner,60,married,no_rec,fixed,75,60,400,1150,1406,-0.991304348
good,2,owner,60,married,no_rec,fixed,90,86,0,1200,1497,-0.2
bad,13,rent,36,married,no_rec,fixed,59,143,0,1400,1600,2.16
bad,27,rent,60,married,yes_rec,fixed,87,120,0,1300,1350,1.523076923
bad,3,other,60,single,no_rec,fixed,35,283,0,2000,2032,7.44
good,0,owner,36,married,no_rec,fixed,60,138,0,1400,2610,2.005714286
good,1,priv,12,married,no_rec,others,90,90,600,500,1193,-0.144
bad,1,rent,60,married,yes_rec,fixed,85,99,0,1200,1275,0.7
bad,10,owner,36,married,yes_rec,freelance,75,160,0,3250,3750,0.941538462
good,1,owner,60,married,no_rec,partime,60,330,3500,1300,2500,10.84615385
good,6,owner,36,married,no_rec,freelance,60,100,0,1000,1790,1.44
bad,3,rent,48,married,no_rec,fixed,96,210,0,1400,1419,3.908571429
good,10,rent,30,separated,no_rec,fixed,45,100,0,700,1480,2.357142857
good,0,owner,36,single,no_rec,partime,45,97,0,600,1542,3.12
bad,1,rent,60,married,no_rec,freelance,45,65,0,1500,1850,0.8
good,6,owner,48,married,no_rec,fixed,45,227,0,600,1380,14.56
good,5,owner,42,married,yes_rec,fixed,45,140,2500,1200,1888,2.45
bad,1,rent,48,married,no_rec,fixed,87,115,0,1100,1672,1.221818182
good,37,owner,48,married,no_rec,fixed,60,150,0,700,808,6.171428571
bad,1,parents,60,single,no_rec,fixed,35,90,0,1100,1107,3
good,40,owner,42,married,no_rec,fixed,90,275,0,1000,1335,7.77
good,5,parents,60,single,no_rec,fixed,35,176,0,1190,1390,7.109243697
good,11,rent,60,married,no_rec,fixed,71,110,0,1150,1363,2.034782609
good,23,owner,60,married,no_rec,fixed,75,140,0,1450,1482,2.689655172
good,23,owner,60,married,no_rec,fixed,45,500,0,1900,2357,14.36842105
bad,5,owner,60,married,no_rec,fixed,75,66,0,600,850,-0.9
good,10,owner,60,married,no_rec,freelance,60,273,0,1000,1180,12.78
good,5,owner,48,married,no_rec,freelance,75,145,0,825,1617,4.072727273
good,31,owner,60,married,no_rec,fixed,60,67,0,1080,1114,0.388888889
bad,4,owner,60,married,no_rec,freelance,75,232,0,1900,1976,4.957894737
bad,10,owner,60,married,yes_rec,fixed,90,80,1749,1030,1095,-1.601359223
good,0,parents,60,single,no_rec,freelance,35,130,0,800,1380,7.125
good,8,other,60,married,no_rec,fixed,45,200,0,700,1529,13.28571429
good,2,owner,36,married,yes_rec,freelance,75,154,0,850,1263,3.345882353
good,3,priv,48,married,no_rec,freelance,90,187,750,1550,1600,2.771612903
bad,35,owner,48,married,no_rec,fixed,60,135,0,1200,1400,3
good,3,owner,48,widow,no_rec,fixed,45,160,3000,1000,1520,4.08
good,25,owner,60,married,no_rec,fixed,60,133,0,1500,1617,2.92
good,8,rent,60,married,no_rec,freelance,173,230,0,1100,1500,3.109090909
good,2,owner,60,married,no_rec,fixed,60,154,0,1000,1705,5.64
good,2,owner,30,married,no_rec,fixed,60,50,250,600,1292,-0.625
good,17,owner,48,married,no_rec,freelance,60,189,0,1100,1294,5.629090909
good,3,owner,60,married,no_rec,fixed,60,202,1260,1400,1936,5.545714286
bad,4,parents,48,married,no_rec,freelance,90,20,0,1850,2143,-1.816216216
bad,0,owner,12,married,no_rec,others,60,40,0,170,1394,-1.411764706
bad,2,rent,24,married,no_rec,fixed,110,50,0,200,425,-7.2
good,2,owner,48,married,no_rec,fixed,45,125,0,500,1600,7.68
good,30,rent,60,married,no_rec,freelance,70,100,0,1250,1563,1.44
good,11,owner,60,married,no_rec,fixed,60,115,75,1250,1284,2.604
bad,5,ignore,60,married,no_rec,fixed,75,160,0,890,990,5.730337079
good,14,owner,60,married,no_rec,fixed,60,70,2800,600,1125,-1.8
good,8,owner,48,married,no_rec,fixed,35,220,0,1000,1267,8.88
bad,1,other,60,married,yes_rec,freelance,45,99,0,1600,1780,2.025
good,1,owner,6,single,no_rec,freelance,35,107,0,300,1298,1.44
bad,6,owner,60,married,no_rec,fixed,75,160,600,1550,1600,3.058064516
good,9,owner,60,married,no_rec,fixed,75,150,0,1100,1340,4.090909091
good,0,owner,60,married,no_rec,partime,45,232,0,750,1244,14.96
bad,3,owner,60,married,no_rec,partime,45,120,1500,1000,1403,3.6
good,3,owner,60,married,yes_rec,freelance,75,225,0,1400,1980,6.428571429
good,1,parents,60,single,no_rec,freelance,35,100,0,900,1290,4.333333333
bad,0,owner,36,married,no_rec,partime,75,80,300,600,1339,0.12
good,6,owner,60,single,no_rec,fixed,35,208,3300,1500,1559,5.6
bad,21,owner,60,married,no_rec,fixed,90,105,720,200,1078,2.34
good,17,owner,60,married,no_rec,fixed,60,98,0,860,1113,2.651162791
good,7,rent,18,married,no_rec,fixed,113,532,0,1000,2290,7.542
good,10,owner,60,married,no_rec,fixed,60,140,0,1000,1578,4.8
good,2,owner,48,married,no_rec,fixed,75,90,2000,500,1039,-0.48
good,0,rent,60,married,no_rec,fixed,76,155,0,800,1218,5.925
good,2,owner,60,married,no_rec,fixed,45,120,0,300,1329,15
good,10,owner,36,married,no_rec,fixed,90,159,250,300,500,7.98
good,6,owner,60,married,no_rec,fixed,45,122,1000,1300,1384,3.092307692
bad,7,owner,60,married,no_rec,partime,75,156,0,1300,1553,3.738461538
good,18,owner,48,single,no_rec,fixed,35,90,0,1000,1626,2.64
good,3,owner,18,single,no_rec,partime,35,130,0,1100,1674,1.554545455
good,6,owner,18,married,no_rec,freelance,90,45,34,200,1500,-4.0806
good,0,rent,36,married,no_rec,partime,72,118,0,600,1421,2.76
bad,0,owner,24,single,no_rec,others,60,152,0,400,480,5.52
good,8,rent,48,single,no_rec,fixed,49,135,0,1000,1274,4.128
good,4,rent,48,married,no_rec,fixed,58,125,0,1200,1580,2.68
